Onset	Duration	Amplitude	trial_type
35.403055863000915	0	1	rest
65.43303348701447	0	1	right
70.54905883101746	0	1	rest
86.01540625800844	0	1	right
91.06466918503865	0	1	rest
105.71607961303089	0	1	left
110.76055990300374	0	1	rest
125.51595222799806	0	1	left
130.6206222820445	0	1	rest
146.34769293003484	0	1	right
151.4535720950342	0	1	rest
166.7944059610134	0	1	left
171.89776825603332	0	1	rest
187.82966001903407	0	1	left
192.89565644903342	0	1	rest
207.1272074040142	0	1	right
212.1684389740229	0	1	rest
226.23195952702082	0	1	right
231.32434498502408	0	1	rest
245.66541225499242	0	1	right
250.72681583104426	0	1	rest
265.0221104479977	0	1	right
270.0618211620138	0	1	rest
284.9405031780014	0	1	right
290.03544673703146	0	1	rest
305.8169454319985	0	1	left
310.92902080302594	0	1	rest
326.27250924404944	0	1	left
331.3566715880413	0	1	rest
346.22988689400955	0	1	left
351.33286629804644	0	1	rest
366.1339084300096	0	1	left
371.2244735250249	0	1	rest
385.4523887930089	0	1	left
390.52625021304704	0	1	rest
405.7136847340269	0	1	left
410.74086740800414	0	1	rest
426.4312516659964	0	1	right
431.53164698504844	0	1	rest
447.4056031130138	0	1	right
452.4927897410351	0	1	rest
467.59445419600235	0	1	end
